element,type,confidence(%)
date arrived in eswatini,Event,61.479576
have close contact with a person who is under investigation for covid-19,Medical Encounters,65.63424
have close contact with a laboratory-confirmed covid-19 case,Medical Encounters,72.92485
was the case ill at time of contact,Case Information,72.599365
is the case a local case,Case Information,75.81577
is the case an international case,Case Information,77.59058
in which country was the case diagnosed with covid-19,Illness in Mother and Infant,71.38913
is the patient a health care worker,Medical Encounters,76.22702
have a history of being in a healthcare facility(as a patient worker or visitor) in affected country,Medical Encounters,71.42691
care for a ncov patient,Treatment/ Services referrals/ Case Diagnosis and Treatment,71.18317
is patient a member of a cluster of patients with severe acute respiratory illness( e.g. fever and pneumonia requiring hospitalisation) of unknown etiology in which ncov is being evaluated,Clinical Information,71.61729
diagnosis(select all that apply) pneumonia (clinical or radiologic),Clinical Information,73.14127
comorbid conditions(check all that apply),Treatment/ Services referrals/ Case Diagnosis and Treatment,73.38024
is/was the patient hospitalized,Patient History,77.537224
admitted to icu,Clinical Information,71.738434
intubated,Medical Encounters,64.60574
on ecmo,Event,66.315285
patient died,Patient History,74.11257
does the patient have another diagnosis/etiology for their respiratory illness,Treatment/ Services referrals/ Case Diagnosis and Treatment,72.400826
influenza rapid(ag/a/b),Maternal and Neonatal (e.g. Listeria forms),67.97823
influenza pcr(a/b),Maternal and Neonatal (e.g. Listeria forms),65.68345
rsv,Potential Vibrio vehicles,65.77688
h.metapneumovirus,History of the disease,67.00061
parainfluenza(1-4),Public Health Issues,64.659386
adenovirus,History of the disease,66.71915
rhinovirus/enterovirus,Maternal and Neonatal (e.g. Listeria forms),73.04656
coronavirus(oc43 229e hku1 nl63),Epidemiological/Exposure Factors/ Exposure/Source,65.660225
m. pneumoniae,History of the disease,67.20657
c. pneumoniae,Maternal and Neonatal (e.g. Listeria forms),68.13933
"other(s), specify",Partner Information,62.02311
specimen type,Laboratory Data,73.57852
clinician's name,Clinical Information,79.882416
phone,Call logs,66.341896
patient e-mail,Clinical Information,77.26684
signature,Comments,61.835636
final dx,Comments,58.338196
mmwr wk,Event,59.892136
mmwr yr,Event,60.346104
investigation id,Community Investigation,80.77623
patient id,Patient History,81.54036
case classification,Case Information,79.78462
clinical/suspected diagnosis,Diagnostic Testing,81.78349
date,Event,67.06779
outcome,Event,70.561615
submitter name,Reporting Entity/Reporting Facility,62.950253
affiliation/organization,Partner Information,69.898445
phone,Call logs,66.341896
fax number,Call logs,57.997288
submitter email,Weekly Follow-up,61.51757
hospital,Medical Encounters,77.350464
laboratory,Laboratory Data,83.77396
clinic,Medical Encounters,78.67828
school/daycare,Administrative,63.32571
last name,Case Information,66.35032
first name,Case Information,61.800117
date of birth,Patient History,64.33852
mrn,,60.628544
patient home phone number,Patient History,71.09871
patient e-mail,Clinical Information,77.26684
address,Partner Information,65.42753
city,Event,65.33524
state,Local Fields,62.370808
zip,,62.207527
patient occupation,Medical Encounters,80.32311
school/daycare attends,Administrative,66.85011
sex,Comments,66.737495
race,Event,69.50713
ethnicity,Community Investigation,64.273766
household contacts,Household Transmission,64.89083
if patient is a minor name of parent(s)/guardian(s),Patient History,72.692154
recent travel history (location/dates),Patient History,71.00058
clinical information,Clinical Information,99.99999
patient notified of lab result,Diagnostic Testing,71.57837
date of visit,Patient History,68.582375
patient admitted,Patient History,74.3561
discharge date,Patient History,64.47872
name of health care provider patient seen by,Patient History,80.29036
patient e-mail,Clinical Information,77.26684
past medical history,Patient History,87.57849
symptom onset date,History of the disease,73.75456
signs and symptoms,Diagnostic Testing,73.288
symptom duration,Treatment/ Services referrals/ Case Diagnosis and Treatment,73.05466
referred to/follow-up,Weekly Follow-up,74.07408
collection date,Patient History,64.591675
specimen type,Laboratory Data,73.57852
test,Diagnostic Testing,76.970535
result date,Patient History,64.02298
result,Comments,66.999115
drug resistant,Traditional Healer,63.672012
if yes resistant drugs,Maternal and Neonatal (e.g. Listeria forms),61.089443
date started,Event,64.97819
drug,Traditional Healer,65.038704
dose,Event,61.30977
route,Event,63.223274
frequency,Event,64.757805
duration,Event,64.26668
additional comments,Comments,81.969246
disease or condition,History of the disease,79.26945
date,Event,67.06779
practitioner name,Traditional Healer,74.55761
practitioner address/see facility address below,Clinical Information,77.13921
practitioner phone/see facility phone below,Treatment/ Services referrals/ Case Diagnosis and Treatment,75.32189
diagnostic criteria (diagnostic lab test type result and specimen source if applicable and/or clinical indicators),Diagnostic Testing,79.08921
patient name,Patient History,83.39233
phone number,Partner Information,62.679733
patient street address,Patient History,74.36227
city,Event,65.33524
state,Local Fields,62.3708
zip code,Partner Information,59.76201
county,Community Investigation,66.00082
date of birth,Patient History,64.33852
age,Comments,59.58798
sex,Comments,66.737495
ethnicity,Community Investigation,64.273766
race,Event,69.50713
notes comments additional information,Comments,73.0783
name of reporting facility,Reporting Entity/Reporting Facility,89.00859
address,Partner Information,65.42753
name of person reporting,Reporting Entity/Reporting Facility,73.56257
title,Event,66.99352
phone number,Partner Information,62.679733
date of report (mm/dd/yyyy),Reporting Entity/Reporting Facility,67.23951
patient e-mail,Clinical Information,77.26684
reporting date,Reporting Entity/Reporting Facility,70.2211
idsr form id,Case Information,61.95441
patient record id,Patient History,81.83458
reporting health facility,Reporting Entity/Reporting Facility,82.22706
reporting district,Reporting Entity/Reporting Facility,80.093895
reporting county,Reporting Entity/Reporting Facility,77.274956
disease or condition of alert(select one),Diagnostic Testing,71.514496
crossed international border in last 1 month,Surveillance Use Only,62.43388
case detected at community level,Community Investigation,77.03614
patient first name,Patient History,79.49503
patient last name,Patient History,83.32839
patient sex,Medical Encounters,76.3012
patient age,Patient History,77.95643
date of birth,Patient History,64.33852
patient county of residence,Patient History,71.30253
district of residence,Local Fields,65.14818
community of residence,Community Investigation,66.76259
locating information,Clinical Information,67.99236
date of onset,History of the disease,72.98946
date seen,Event,62.970215
in/out-patient,Medical Encounters,70.58451
outcome,Event,70.561615
classification,Comments,64.89292
reporting person name,Reporting Entity/Reporting Facility,70.202545
phone number,Partner Information,62.679733
person collecting specimen name,Laboratory Data,65.40366
phone number,Partner Information,62.679733
comments,Comments,99.999985
vaccination history,History of the disease,76.94481
number of doses,Epidemiological/Exposure Factors/ Exposure/Source,66.29612
date of last vaccination,Patient History,68.18651
date of specimen collection,Laboratory Data,68.68269
date specimen sent to lab,Laboratory Data,74.99886
specimen type,Laboratory Data,73.57852
laboratory name,Laboratory Data,77.873215
specimen received date,Laboratory Data,69.27614
specimen condition,Laboratory Data,74.52766
date specimen tested,Laboratory Data,75.40345
type of test(s) performed,Diagnostic Testing,85.42309
specimen id,Laboratory Data,71.43933
final lab results,Laboratory Data,81.13476
date results reported,Patient History,66.769554
case id number,Case Information,84.28492
date received by national level(disease surveillance department),Patient History,73.036896
region,Local Fields,64.340195
district,Administrative,65.69792
sub-district of residence,Local Fields,63.614853
health facility,Medical Encounters,76.28394
date notified,Weekly Follow-up,63.837208
date investigated,Case Information,66.76509
name of patient,Patient History,83.14389
sex,Comments,66.737495
date of birth,Patient History,64.33852
age,Comments,59.58798
name of village/suburb town/ city,Local Fields,64.69955
address (location),Partner Information,65.75441
patient occupation,Medical Encounters,80.32311
residence,Administrative,65.333496
contact phone number of suspected case,Case Information,77.78114
date of onset(dd/mm/yyyy),History of the disease,63.94756
signs and symptoms,Diagnostic Testing,73.288
date first seen at a health facility for this disease,History of the disease,83.50961
admitted to hospital (in-patient),Medical Encounters,73.09007
name of health facility,Treatment/ Services referrals/ Case Diagnosis and Treatment,71.4958
district where health facility located,Public Health Issues,69.10106
date of admission (in-patient),Patient History,77.85511
date person discharged from hospital,Patient History,66.88555
termination date of hospital stay,Patient History,73.69769
admitted to intensive care unit,Clinical Information,71.94587
previously vaccinated against influenza,Illness in Mother and Infant,66.494835
list places visited during the past 7 days,Patient History,66.32037
visited places with known lab confirmed pandemic influenza cases within 7 days prior to the onset of disease,Epidemiological/Exposure Factors/ Exposure/Source,65.7326
contact with suspected or confirmed influenza patient(s),Medical Encounters,72.64676
contact with sick or dead animals (wild or domestic),Epidemiological/Exposure Factors/ Exposure/Source,72.5315
risk factors for severe disease,Epidemiological/Exposure Factors/ Exposure/Source,77.24157
type of specimen taken,Laboratory Data,77.5869
positive viral culture for influenza a(h1n1),Maternal and Neonatal (e.g. Listeria forms),67.04738
positive real time rt-pcr for influenza a(h1n1),Diagnostic Testing,64.218796
4-fold rise in a(h1n1) virus-specific antibody titre in paired serum samples,Maternal and Neonatal (e.g. Listeria forms),62.506878
other influenza viruses,Maternal and Neonatal (e.g. Listeria forms),68.34143
state treatment administered,Treatment/ Services referrals/ Case Diagnosis and Treatment,77.810844
final outcome,Event,65.79778
date final outcome established,Case Information,67.74035
"if person died, date of death",Patient History,69.17061
final classification,Comments,62.921608
other comments and remarks,Comments,80.99942
name,Case Information,63.117123
title,Event,66.99352
institution/unit,Administrative,70.77496
address,Partner Information,65.42753
telephone,Call logs,68.34405
patient e-mail,Clinical Information,77.26684
date of last update (dd/mm/yyyy),Patient History,62.45615
epid number,Patient History,64.089264
received,Cold Chain and Transport,60.114235
district,Administrative,65.69792
region,Local Fields,64.340195
nearest health facility to village,Public Health Issues,67.33822
village/suburb,Local Fields,65.639786
town/city,Local Fields,65.16077
address,Partner Information,65.42753
name of patient,Patient History,83.14389
mother/father,Illness in Mother and Infant,67.2571
sex,Comments,66.737495
date of birth,Patient History,64.33853
age,Comments,59.58798
notified by,Weekly Follow-up,67.75725
date notified,Weekly Follow-up,63.837208
date investigated,Case Information,66.76508
admitted to hospital,Clinical Information,72.41783
date of admission,Patient History,66.9264
medical record number,Patient History,77.05303
facility address,Reporting Entity/Reporting Facility,70.26819
fever at onset of paralysis,Illness in Mother and Infant,70.26299
paralysis progresses less than or equal to 3 days,Illness in Mother and Infant,63.534485
flaccid and sudden paralysis,Illness in Mother and Infant,67.40551
asymmetrical,,59.074043
site of paralysis,History of the disease,65.53122
onset of paralysis,Illness in Mother and Infant,67.8002
after investigation was it true afp,Community Investigation,68.26624
total doses of polio,Epidemiological/Exposure Factors/ Exposure/Source,62.94936
birth,Event,70.33929
1st,Weekly Follow-up,59.65901
2nd,Weekly Follow-up,60.9345
3rd,Event,59.596928
4th,Event,62.006866
dose information,Clinical Information,77.48619
date 1st stool,Event,59.73905
date 2nd stool,Weekly Follow-up,61.473106
date sent to national lab,Laboratory Data,71.8577
condition of stool,Illness in Mother and Infant,65.33904
date received by national lab,Laboratory Data,71.941055
date results sent by lab to district,Laboratory Data,69.60831
date results receive by district,Weekly Follow-up,62.592113
date isolate sent by national lab to regional lab,Laboratory Data,69.138664
date differentiation result sent by regional lab,Laboratory Data,71.3236
date differentiation result received by district,Local Fields,58.91905
primary isolation results,Laboratory Data,62.826546
date of follow up examination,Weekly Follow-up,71.86123
residual paralysis,Illness in Mother and Infant,65.056755
findings at follow-up,Weekly Follow-up,74.99569
final classification of the case,Case Information,78.460815
name,Case Information,63.117123
title,Event,66.99352
unit,Administrative,63.76813
address,Partner Information,65.42753
phone,Call logs,66.341896
reporting health facility,Reporting Entity/Reporting Facility,82.22706
reporting lga,Reporting Entity/Reporting Facility,69.11249
identification number,Case Information,63.59431
type of case,Case Information,79.61065
date form received at smoh or the national level,Reporting Entity/Reporting Facility,66.13308
name of patient,Patient History,83.14389
date of birth,Patient History,64.33853
age(if dob unknown),Case Information,62.16932
sex,Comments,66.737495
patient address,Patient History,77.165596
setting,Control Measures,64.36222
settlement/village,Local Fields,63.887524
ward,Traditional Healer,68.05297
lga,Administrative,61.92768
state,Local Fields,62.370808
exact residential address,Partner Information,65.79193
date seen at the health facility,Patient History,78.86745
date health facility notified lga,Patient History,71.50674
date of onset,History of the disease,72.98946
number of vaccine doses received (9=unknown),Patient History,63.527733
date of last vaccination,Patient History,68.18651
close contact with infected poultry,Epidemiological/Exposure Factors/ Exposure/Source,69.03034
close contact with suspected or confirmed case of avian influenza,Medical Encounters,69.37481
associated with an outbreak,Epidemiological/Exposure Factors/ Exposure/Source,76.241455
in/out-patient,Medical Encounters,70.58451
outcome,Event,70.561615
final classification of case,Case Information,77.78854
final classification for measles,Maternal and Neonatal (e.g. Listeria forms),67.909035
name,Case Information,63.117123
title,Event,66.99352
address,Partner Information,65.42753
signature,Comments,61.835636
date form sent to lga,Patient History,63.28488
epid number,Patient History,64.089264
received,Cold Chain and Transport,60.114235
lga,Administrative,61.92768
state,Local Fields,62.370808
nearest health facility to village,Public Health Issues,67.33822
address,Partner Information,65.42753
village/neighborhood,Local Fields,68.367676
town/city,Local Fields,65.16077
name(s) of patient,Patient History,85.850746
father/mother,Illness in Mother and Infant,67.22706
date of birth,Patient History,64.33852
age,Comments,59.58798
sex,Comments,66.737495
notified by,Weekly Follow-up,67.75725
date notified,Weekly Follow-up,63.8372
date case investigated,Case Information,75.34044
admitted to hospital,Clinical Information,72.41783
date of admission,Patient History,66.9264
medical record no.,Patient History,71.89352
name/address of facility,Reporting Entity/Reporting Facility,70.63491
onset of paralysis,Illness in Mother and Infant,67.8002
signs and symptoms,Diagnostic Testing,73.288
site of paralysis,History of the disease,65.53122
after investigation was this positive,Diagnostic Testing,73.4325
total polio doses (99=unknown),Epidemiological/Exposure Factors/ Exposure/Source,67.46695
birth,Event,70.33929
1st,Weekly Follow-up,59.65901
2nd,Weekly Follow-up,60.9345
3rd,Event,59.596928
4th,Event,62.006866
"if greater than 4, last opv dose",Patient History,66.30313
date 1st stool,Event,59.73905
date 2nd stool,Weekly Follow-up,61.473106
date stool specimen sent to national lab,Laboratory Data,73.91404
date specimen received by national lab,Laboratory Data,75.74674
date result sent by lab to state,Laboratory Data,69.02568
date result received by state,Patient History,64.69593
date isolate sent from national lab to regional lab,Laboratory Data,68.02079
date differentiation result sent by regional lab,Laboratory Data,71.3236
date differentiation result received by state,Control Measures,61.085297
primary isolation result,Potential Vibrio vehicles,58.855553
date follow-up examination,Weekly Follow-up,73.66163
residual paralysis,Illness in Mother and Infant,65.056755
findings at follow-up,Weekly Follow-up,74.99569
final classification of the case,Case Information,78.460815
name,Case Information,63.117123
title,Event,66.99352
unit,Administrative,63.76813
address,Partner Information,65.42753
phone,Call logs,66.341896
where has the child been seeking help for this problem before presenting here (in sequence of visit),Treatment/ Services referrals/ Case Diagnosis and Treatment,78.04536
case id,Case Information,86.82826
date of reception,Event,64.81563
country,Community Investigation,62.057514
date of detection of the case,Case Information,81.90331
this case was notified by (tick off the right answer and specified),Case Information,76.203896
form filled by (first name and surname),Partner Information,62.79014
information given by (first name and surname),Partner Information,71.20123
family link with the patient,Patient History,75.307625
first name,Case Information,61.800117
surname,Case Information,63.159615
nickname,Traditional Healer,59.93467
name of father,Illness in Mother and Infant,63.201057
date of birth,Patient History,64.33852
age of patient,Patient History,75.41699
sex,Comments,66.737495
permanent address,Administrative,64.75385
head of household (first name and surname),Partner Information,63.75283
village/suburb,Local Fields,65.639786
country,Community Investigation,62.057514
gps,Surveillance Use Only,65.134766
nationality,Case Information,63.927746
ethnic group,Traditional Healer,67.06486
profession of the patient,Medical Encounters,80.34032
status of the patient at detection,Diagnostic Testing,79.910225
place of death,Medical Encounters,63.145542
place of the funerals,Event,58.9278
country,Community Investigation,62.057514
symptom onset date,History of the disease,73.75456
name of the village where the patient got ill,Patient History,74.61264
country,Community Investigation,62.057514
did the patient travel during illness,Patient History,72.383865
if patient had fever,Diagnostic Testing,73.7531
does or did the patient have the following symptoms (tick off when apply),Treatment/ Services referrals/ Case Diagnosis and Treatment,71.37989
if the patient was hospitalized,Patient History,75.066284
if patient visit a traditional healer,Traditional Healer,86.9837
receive traditional medicine,Traditional Healer,86.94951
if patient attended funeral,Patient History,69.41031
if patient travelled,Medical Encounters,71.6354
patient contact with known case,Patient History,77.90043
state of case during contact,Case Information,70.60311
date of last contact with the suspect case,Case Information,74.0955
did the patient contacted a wild animal,Medical Encounters,75.54531
sample collected,Laboratory Data,72.515945
type of sample*,Laboratory Data,71.83842
patient sent to a hospital,Patient History,73.14604
was the patient admitted in the isolation ward,Medical Encounters,72.703674
case id,Case Information,86.82826
reception date,Event,65.21602
country,Community Investigation,62.057514
member of family helping the patient,Medical Encounters,72.13444
date of discharge,Patient History,66.23901
date of death,Patient History,66.41272
specimen was collected,Laboratory Data,76.34579
date sample,Laboratory Data,65.65918
date results,Patient History,67.00956
id lab,Laboratory Data,71.888885
sample,Laboratory Data,70.85336
pcr,Diagnostic Testing,74.1066
antigen detection,Diagnostic Testing,72.3598
antibodies igm,Diagnostic Testing,62.79689
antibodies igg,Diagnostic Testing,65.66633
immunohistochemistry,Laboratory Data,66.7493
outcome (verified 4 weeks after the onset of symptoms),Treatment/ Services referrals/ Case Diagnosis and Treatment,71.39734
case classification,Case Information,79.78462
county,Community Investigation,66.00082
sub county,Local Fields,65.55284
health facility,Medical Encounters,76.28394
epi week,Weekly Follow-up,75.67501
week ending,Weekly Follow-up,75.964714
month,Event,65.245186
year,Event,64.06758
no. of health facilities/sites that reported,Patient History,74.667534
no. of health facilities/sites expected to report,Reporting Entity/Reporting Facility,74.39009
aefi,Administrative,63.149464
acute jaundice,Illness in Mother and Infant,71.7606
acute malnutrition,Nutritious / Food consumption,74.226234
afp (poliomyelitis),History of the disease,71.97522
anthrax,Public Health Issues,65.88822
cholera infection,Illness in Mother and Infant,72.311005
chikungunya,History of the disease,69.275856
covid-19,Public Health Issues,71.53498
dengue,Public Health Issues,70.38422
dysentery (bacillary),Illness in Mother and Infant,75.012665
guinea worm disease,History of the disease,70.08879
measles,History of the disease,67.49488
suspected malaria,Illness in Mother and Infant,75.22792
deaths due to malaria,Epidemiological/Exposure Factors/ Exposure/Source,66.554245
bacterial meningitis,Illness in Mother and Infant,71.23031
neonatal deaths,Illness in Mother and Infant,73.46177
neonatal tetanus,Illness in Mother and Infant,72.21207
onchocerciasis,History of the disease,68.76992
plague diagnosis,Illness in Mother and Infant,73.13061
rabies,History of the disease,66.18406
rift valley fever,Potential Vibrio vehicles,63.878624
sari (cluster greater than or equal to cases),Case Information,62.53677
pneumonia,Illness in Mother and Infant,69.42495
suspected mdr/xdr. tb,Diagnostic Testing,68.462326
typhoid,Illness in Mother and Infant,71.55717
vhf,Household Transmission,64.08995
yellow fever dignosis,History of the disease,73.97091
zika virus,Illness in Mother and Infant,65.28173
"other(s), specify",Partner Information,62.02311
malaria microscopy,Laboratory Data,67.68044
malaria rdt,History of the disease,65.69888
bacterial meningitis,Illness in Mother and Infant,71.23031
no. of csf sub-typed,Local Fields,58.8062
dysentery,Illness in Mother and Infant,72.78898
tuberculosis(mdr/xdr),History of the disease,70.49532
typhoid,Illness in Mother and Infant,71.55717
reported by,Reporting Entity/Reporting Facility,67.35337
designation,Administrative,69.45636
sign,Event,64.20464
date,Event,67.06779
patient epid number,Patient History,75.832535
date form received at national level,Patient History,63.770912
health facility,Medical Encounters,76.28394
type,Event,63.363914
sub county,Local Fields,65.55284
county,Community Investigation,66.00082
disease reported (tick one),Illness in Mother and Infant,74.927986
name of patient,Patient History,83.14389
sex,Comments,66.737495
age in,Comments,60.357265
date of birth,Patient History,64.33852
residence,Administrative,65.333496
tracer information,Call logs,63.646854
date of onset of illness,History of the disease,78.628334
date first seen at health facility,Patient History,77.60652
date health facility notified sub county level,Patient History,69.57617
hospitalized,Medical Encounters,70.81132
ip/op no.,Surveillance Use Only,64.78448
diagnosis,Diagnostic Testing,79.87877
means of diagnosis,Diagnostic Testing,87.386154
was the patient vaccinated against illness (including campaign),Patient History,71.34777
any vaccination given in the last two months,Illness in Mother and Infant,71.76889
status of the patient,Clinical Information,80.36804
onset of paralysis,Illness in Mother and Infant,67.8002
signs and symptoms,Diagnostic Testing,73.288
site(s) of paralysis,History of the disease,65.43081
name,Case Information,63.117123
tel. no,Household Transmission,60.202164
where was the baby delivered,Illness in Mother and Infant,71.78838
was the cord cut with sterile/clean blade,Maternal and Neonatal (e.g. Listeria forms),61.849625
how was the cord stump treated or dressed,History of the disease,63.88507
how old (in days) was the baby when the symptoms began,Illness in Mother and Infant,80.44221
at birth did the baby suck normally,Illness in Mother and Infant,69.21716
was the case confirmed as neonatal tetanus (if yes to the last 3 questions),Illness in Mother and Infant,74.86508
was the baby treated at a health facility,Illness in Mother and Infant,81.246864
is the mother alive,Illness in Mother and Infant,71.53021
did case response for the mother take place,Case Information,78.21348
did a case response take place in her community,Case Information,78.526695
presence of fever,Illness in Mother and Infant,75.458755
date of onset of rash,History of the disease,70.64704
type of rash,Epidemiological/Exposure Factors/ Exposure/Source,63.775043
was home of patient visited for contact investigation,Medical Encounters,80.65217
is the case epidemiologically linked to a lab-confirmed case,History of the disease,74.463974
specimen was collected,Laboratory Data,76.34579
specimen type,Laboratory Data,73.57852
date specimen sent to the lab,Laboratory Data,74.680016
name of the lab,Laboratory Data,80.081474
lab results,Laboratory Data,85.62806
form completed by,Patient History,65.82891
designation,Administrative,69.45636
sign,Event,64.20464
sub county contact person details,Partner Information,65.040794
final laboratory results,Laboratory Data,83.31049
laboratory numbers,Laboratory Data,82.23947
epid number,Patient History,64.089264
urgent,Administrative,66.27333
priority,Public Health Issues,63.9804
routine,Weekly Follow-up,65.049934
laboratory results received,Laboratory Data,83.89225
date lab results received,Laboratory Data,76.2096
specimen type,Laboratory Data,73.57852
collection date,Patient History,64.591675
date of symptom onset,History of the disease,75.6716
date of consultation,Patient History,70.515305
first name,Case Information,61.800117
surname,Case Information,63.159615
date of birth,Patient History,64.33852
age,Comments,59.58798
sex,Comments,66.737495
current address,Local Fields,63.45693
residential address,Local Fields,65.4349
patient's contact number/s,Clinical Information,79.85934
organization,Administrative,74.64229
patient occupation,Medical Encounters,80.32311
residency,Medical Encounters,68.00656
patient hospital number (if available),Clinical Information,77.62071
additional information,Case Information,70.56937
name,Case Information,63.117123
contact no,Partner Information,62.99426
email address,Partner Information,67.84187
facility name,Reporting Entity/Reporting Facility,72.36852
region,Local Fields,64.340195
district,Administrative,65.69792
full name,Case Information,63.149487
contact number,Partner Information,67.17304
relationship to the patient,Clinical Information,77.256615
form completed by (name and surname),Patient History,65.58772
contact details (tel and cell no.),Partner Information,68.3829
signs and symptoms,Diagnostic Testing,73.288
in the 14 days before onset of symptoms did the patient (mark all that apply) have close physical contact with a known covid-19 case,Medical Encounters,70.92572
have close physical contact with an ill traveller from an area within namibia other countries where covid-19 is circulating or where human infections have recently occured,Public Health Issues,70.76484
has the patient travelled to/from countries or other areas in namibia where covid-19 is known to be circulating or where human infections have recently occured,Treatment/ Services referrals/ Case Diagnosis and Treatment,69.55423
