element,members
"after investigation, was this a true afp","After investigation was this a true AFP, After investigation, was this a true AFP"
total polio doses (99=unknown),Total polio doses (99=unknown)
"if greater than 4, last opv dose","If greater than 4, last OPV dose"
date stool specimen sent to national lab,Date stool specimen sent to national lab
date specimen received by national lab,Date specimen received by national lab
date result sent by lab to state,Date result sent by lab to state
date result received by state,Date result received by state
date isolate sent from national lab to regional lab,Date isolate sent from national lab to regional lab
date differentiation result received by state,Date differentiation result received by state
date follow-up examination,Date follow-up examination
where has the child been seeking help for this problem before presenting here (in sequence of visit),Where has the child been seeking help for this problem before presenting here (in sequence of visit)
case id,"ID case, Case ID, CASE ID, ID Case"
date of reception,Date of reception
country,Country
date of detection of the case,Date of detection of the case
this case was notified by (tick off the right answer and specified),This case was notified by (tick off the right answer and specified)
form filled by (first name and surname),Form filled by (first name and surname)
information given by (first name and surname),Information given by (first name and surname)
family link with the patient,Family link with the patient
nickname,Nickname
"for the babies, son/daughter of (name of father)","For the babies son/daughter of (name of father), For the babies, son/daughter of (name of father)"
age (years),"Age (years), Age(years)"
permanent address,Permanent address
head of household (first name and surname),"Head of household (first name and surname), Head of Household (first name and surname)"
gps,GPS
ethnic group,"Ethnic group, Ethnic Group"
profession of the patient (tick off the right answer),"Profession of the patient (tick off the right answer ), Profession of the patient (tick off the right answer)"
status of the patient at detection,Status of the patient at detection
place of death,"Place of death, Place of Death"
"place of the funerals, name village:","Place of the funerals name village, Place of the funerals, name village:"
date of onset of symptoms,"Date of onset of symptoms, Date onset of symptoms"
name of the village where the patient got ill,Name of the village where the patient got ill
did the patient travel during illness,Did the patient travel during illness
did the patient have fever,"Did the patient have fever, Did the patient have fever?"
does or did the patient have the following symptoms (tick off when apply),Does or did the patient have the following symptoms (tick off when apply)
was the patient hospitalized or did he visit anyone in the hospital anytime in the three weeks before becoming ill,"Was the patient hospitalized or did he visit anyone in the hospital anytime in the three weeks before becoming ill, Was the patient hospitalized or did he visit anyone in the hospital anytime in the three weeks before becoming ill?"
did the patient have visit/consult a traditional healer during the three weeks before becoming ill or during illness,"Did the patient have visit/consult a traditional healer during the three weeks before becoming ill or during illness, Did the patient have visit/consult a traditional healer during the three weeks before becoming ill or during illness?"
did the patient receive traditional medicine,"Did the patient receive traditional medicine, Did the patient receive traditional medicine?"
did the patient attend funeral ceremonies during anytime in the three weeks before becoming ill,"Did the patient attend funeral ceremonies during anytime in the three weeks before becoming ill, Did the patient attend funeral ceremonies during anytime in the three weeks before becoming ill?"
did the patient travel anytime in the three weeks before becoming ill,"Did the patient travel anytime in the three weeks before becoming ill, Did the patient travel anytime in the three weeks before becoming ill?"
did the patient have a contact with a known suspect case anytime in the three weeks before becoming ill,"Did the patient have a contact with a known suspect case anytime in the three weeks before becoming ill, Did the patient have a contact with a known suspect case anytime in the three weeks before becoming ill?"
"during the contact, the suspect case was","During the contact the suspect case was, During the contact, the suspect case was"
date of last contact with the suspect case,Date of last contact with the suspect case
did the patient have contact with a wild animal (non-human primate or others) that was found dead or sick in the bush or animal behaving abnormally anytime in the three weeks before the illness,"Did the patient have contact with a wild animal (non-human primate or others) that was found dead or sick in the bush or animal behaving abnormally anytime in the three weeks before the illness, Did the patient have contact with a wild animal (non-human primate or others), that was found dead or sick in the bush, or animal behaving abnormally anytime in the three weeks before the illness"
has a sample been collected,"Has a sample been collected, Has a sample been collected?"
type of sample*,Type of sample*
was the patient sent to a hospital,"Was the patient sent to a hospital, Was the patient sent to a hospital?"
was the patient admitted in the isolation ward,"Was the patient admitted in the isolation ward, Was the patient admitted in the isolation ward?"
reception date,Reception date
member of family helping the patient,Member of family helping the patient
date of death,"Date of death, Date of Death"
a specimen was collected,"A specimen was collected, Was specimen collected, Was a specimen collected"
date sample,Date sample
date results,Date results
id lab,ID lab
sample,Sample
pcr,PCR
antigen detection,Antigen detection
antibodies igm,Antibodies IgM
antibodies igg,Antibodies IgG
immunohistochemistry,"Immunohistochemistry, ImmunoHistochemistry"
outcome (verified 4 weeks after the onset of symptoms),Outcome (verified 4 weeks after the onset of symptoms)
sub county,Sub county
epi week,EPI week
week ending,Week ending
month,Month
year,Year
no. of health facilities/sites that reported,No. Of health facilities/sites that reported
no. of health facilities/sites expected to report,No. Of health facilities/sites expected to report
aefi,AEFI
acute jaundice,Acute jaundice
acute malnutrition,Acute malnutrition
afp (poliomyelitis),AFP (poliomyelitis)
anthrax,Anthrax
cholera,"Cholera, Cholera*"
chikungunya,Chikungunya
covid-19,COVID-19
dengue,Dengue
dysentery (bacillary),Dysentery (bacillary)
guinea worm disease,Guinea worm disease
measles,Measles
suspected malaria,Suspected malaria
deaths due to malaria,Deaths due to Malaria
bacterial meningitis,Bacterial meningitis
neonatal deaths,Neonatal deaths
neonatal tetanus,"Neonatal tetanus, Neonatal Tetanus"
onchocerciasis,Onchocerciasis
plague,"Plague, Plague*"
rabies,Rabies
rift valley fever,Rift valley fever
sari (cluster greater than or equal to cases),SARI (cluster greater than or equal to cases)
pneumonia,Pneumonia
suspected mdr/xdr. tb,Suspected MDR/XDr. TB
typhoid,Typhoid
vhf,VHF
yellow fever,"Yellow fever, Yellow fever*"
zika virus,Zika virus
malaria microscopy,"Malaria-microscopy, Malaria Microscopy"
malaria rdt,Malaria RDT
no. of csf sub-typed,No. of CSF sub-typed
dysentery,Dysentery
tuberculosis(mdr/xdr),Tuberculosis(MDR/XDR)
reported by,"Reported by, Reported By"
sign,Sign
epid no.,"EPID No., Epid No"
date form received at national level,Date form received at national level
type,Type
disease reported (tick one),Disease reported (tick one)
age in,Age in
tracer information,Tracer information
date of onset of illness,"Date of onset of illness, Date of illness onset"
date first seen at health facility,Date first seen at health facility
date health facility notified sub county level,Date health facility notified sub county level
hospitalized,"Hospitalized, Hospitalised"
ip/op no.,IP/OP No.
diagnosis,Diagnosis
means of diagnosis,Means of diagnosis
was the patient vaccinated against illness (including campaign),Was the patient vaccinated against illness (including campaign)
any vaccination given in the last two months,Any vaccination given in the last two months
status of the patient,Status of the patient
site(s) of paralysis,Site(s) of paralysis
tel. no,Tel. No
where was the baby delivered,Where was the baby delivered
was the cord cut with sterile/clean blade,Was the cord cut with sterile/clean blade
how was the cord stump treated or dressed,How was the cord stump treated or dressed
how old (in days) was the baby when the symptoms began,How old (in days) was the baby when the symptoms began
at birth did the baby suck normally,At birth did the baby suck normally
was the case confirmed as neonatal tetanus (if yes to the last 3 questions),Was the case confirmed as neonatal tetanus (if yes to the last 3 questions)
was the baby treated at a health facility,Was the baby treated at a health facility
is the mother alive,Is the mother alive
did case response for the mother take place,Did case response for the mother take place
did a case response take place in her community,Did a case response take place in her community
presence of fever,Presence of fever
date of onset of rash,"Date of onset of rash, Date of rash onset"
type of rash,Type of rash
was home of patient visited for contact investigation,Was home of patient visited for contact investigation
is the case epidemiologically linked to a lab-confirmed case,Is the case Epidemiologically linked to a lab-confirmed case
date specimen sent to the lab,Date specimen sent to the lab
name of the lab,Name of the lab
lab results,"Lab results, Lab results*"
form completed by,Form completed by
sub county contact person details,Sub county contact person details
laboratory numbers,Laboratory numbers
urgent,Urgent
priority,Priority
routine,Routine
laboratory results received,Laboratory results received
date lab results received,Date lab results received
date of consultation,Date of consultation
current address,"Current address, Current Address"
residential address,Residential address
patient's contact number/s,Patient's contact number/s
organisation,"Organization, Organisation"
patient hospital number (if available),Patient hospital number (if available)
additional information,Additional information
contact no,Contact no
email address,"Email address, Email Address"
full name,Full name
contact number,"Contact number, Contact phone number, Contact Phone Number"
relationship to the patient,Relationship to the patient
form completed by (name and surname),Form completed by (name and surname)
contact details (tel and cell no.),Contact details (tel and cell No.)
in the 14 days before onset of symptoms did the patient (mark all that apply) have close physical contact with a known covid-19 case,In the 14 days before onset of symptoms did the patient (mark all that apply) have close physical contact with a known COVID-19 case
have close physical contact with an ill traveller from an area within namibia other countries where covid-19 is circulating or where human infections have recently occured,Have close physical contact with an ill traveller from an area within Namibia other countries where COVID-19 is circulating or where human infections have recently occured
has the patient travelled to/from countries or other areas in namibia where covid-19 is known to be circulating or where human infections have recently occured,Has the patient travelled to/from countries or other areas in Namibia where COVID-19 is known to be circulating or where human infections have recently occured
underlying factors/comorbidities,Underlying factors/comorbidities
patient is a healthcare worker who was exposed to patients with severe acute respiratory infections,Patient is a healthcare worker who was exposed to patients with severe acute respiratory infections
patient has visited a health care facility (as a patient or visitor),Patient has visited a health care facility (as a patient or visitor)
is the patient part of a severe respiratory illness cluster of unknown diagnosis/etiology that occured within a 14 day period,Is the patient part of a severe respiratory illness cluster of unknown diagnosis/etiology that occured within a 14 day period
does the patient have clinical or radiological evidence of pneumonia,Does the patient have clinical or radiological evidence of pneumonia
were chest x rays (cxr) done,Were chest x rays (CXR) done
does the patient have clinical or radiological evidence of acute respiratory distress syndrome (ards),Does the patient have clinical or radiological evidence of acute respiratory distress syndrome (ARDS)
patient hospitalised,Patient hospitalised
transferred,Transferred
ventilation,Ventilation
on ecom,On ecom
tamiflu/other antiviral drugs,Tamiflu/other antiviral drugs
antibiotic(s),"Antibiotics, Antibiotic"
white cell count total,White cell count total
differential neutrophils/lymphocytes percentage,Differential neutrophils/lymphocytes percentage
patient outcome*,Patient outcome*
patient status,"Patient status*, Patient status"
province,Province
vaccine recipient name and surname,Vaccine recipient name and surname
age at onset,Age at onset
age group,Age group
patient�s full residential address with landmarks (street name house number locality etc.),Patient�s full residential address with landmarks (street name house number locality etc.)
telephone no.,Telephone No.
mobile no.,Mobile No.
name and surname of reporting officer,Name and surname of reporting officer
designation/position,"Designation/position, Designation/Position"
mobile,Mobile
date of filling this form,Date of filling this form
date of investigation,"Date of investigation, Date of Investigation"
this report is,This report is
date of onset of event,Date of onset of event
time of first symptom,Time of first symptom
date first reported to the health authority,Date first reported to the health authority
date of hospitalization (if applicable),Date of hospitalization (if applicable)
status on the date of investigation,Status on the date of investigation
autopsy done,Autopsy done
name of vaccinator,Name of vaccinator
name of vaccination site,Name of vaccination site
address of vaccination site,Address of vaccination site
place of vaccination,Place of vaccination
type of site,Type of site
vaccination in,Vaccination in
minor local reactions,Minor local reactions
minor systemic reactions,Minor systemic reactions
severe local reactions,Severe local reactions
severe systemic reactions,Severe systemic reactions
foetal adverse reactions in the case of maternal immunisation,Foetal adverse reactions in the case of maternal immunisation
vaccine administered*,Vaccine administered*
needles,Needles
syringes,Syringes
any history of similar event,Any history of similar event
any previous reactions or adverse event after immunisation,Any previous reactions or adverse event after immunisation
any history of allergies (vaccine food drugs),Any history of allergies (Vaccine food drugs)
any family history of any allergies,Any family history of any allergies
any family history of any disease/s (relevant to aefi),Any family history of any disease/s (relevant to AEFI)
pre-existing medical condition/ congenital disorder,Pre-existing medical condition/ congenital disorder
pre-existing acute illness (30 days) prior to vaccination,Pre-existing acute illness (30 days) prior to vaccination
suffering from any medical condition currently,Suffering from any medical condition currently
history of hospitalisation in last 30 days with cause,History of hospitalisation in last 30 days with cause
tested covid-19 positive prior to vaccination date,Tested COVID-19 positive prior to vaccination Date
receiving any concomitant medication,Receiving any concomitant medication
receiving any herbal and/or traditional medicines,Receiving any herbal and/or traditional medicines
current pregnant,Current pregnant
currently breastfeeding,"Currently breastfeeding, Are you currently breastfeeding"
gestation,Gestation
birth weight,"Birth weight, Birth Weight"
delivery procedure,Delivery procedure
for infants,For infants
source of information,Source of information
name and surname of the person who first examined/treated the patient,Name and surname of the person who first examined/treated the patient
name and surname of other persons treating the patient,Name and surname of other persons treating the patient
other sources who provided information (specify),Other sources who provided information (specify)
signs and symptoms of the aefi in chronological order from the time of vaccination,Signs and symptoms of the AEFI in chronological order from the time of vaccination
name and surname,"Name and surname, Name and Surname"
contact(s),"Contact, Contacts"
time,Time
if patient has received medical care attach copies of all available documents (including case sheet. discharge summary laboratory reports and autopsy reports if available). provide only information not available in the attached documents below.,If patient has received medical care attach copies of all available documents (including case sheet. Discharge summary laboratory reports and autopsy reports if available). Provide only information not available in the attached documents below.
if patient has not received medical care obtain history examine the patient and record your findings below (add additional sheets if necessary),If patient has not received medical care obtain history examine the patient and record your findings below (add additional sheets if necessary)
provisional/final diagnosis at the facility (valid diagnosis),Provisional/final diagnosis at the facility (valid diagnosis)
vaccines immunised for each antigen at session site. attach record if available,Vaccines immunised for each antigen at session site. Attach record if available
when was the patient immunised,When was the patient immunised
in case of multidose vials when was the vaccine given,In case of multidose vials when was the vaccine given
time vial was opened,Time vial was opened
was there an error in prescribing or non-adherence to recommendations for use of this vaccine,Was there an error in prescribing or non-adherence to recommendations for use of this vaccine
"based on your investigation, do you feel that the vaccine (ingredients) administered could have been unsterile","Based on your investigation do you feel that the vaccine (ingredients) administered could have been unsterile, Based on your investigation, do you feel that the vaccine (ingredients) administered could have been unsterile"
based on your investigation do you feel that the vaccine's physical condition (e.g. color turbidity foreign substances etc.) was abnormal at the time of administration,"Based on your investigation do you feel that the vaccine's physical condition (e.g. Color turbidity foreign substances etc.) was abnormal at the time of administration, Based on your investigation, do you feel that the vaccine's physical condition (e.g. colour, turbidity, foreign substances, etc.) was abnormal at the time of administration"
